
57 | Piaget, Jean | El lenguaje y el pensamiento en el niño | Buenos Aires | Guadalupe | 1983 | DESARROLLO DEL LENGUAJE ';; 'DESARROLLO COGNOSCITIVO ';; 'TECNICAS DIDACTICAS ';; 'PSICOLOGIA EVOLUTIVA ';; 'COMUNICACION VERBAL | 950-500-070-7
###
107271 |  | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0347-3
###
107272 |  | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE ';; 'ENSENANZA DE LAS MATEMATICAS | 950-00-0349-X
###
107273 | Spravkin, Mariana | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE ';; 'EDUCACION ARTISTICA | 950-00-0341-4
###
107274 | Bird, Jorge | EGB 2 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE ';; 'EDUCACION FISICA | 950-00-0344-9
###
107275 | Clérico, María Laura | EGB 3 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0354-6
###
107276 | Cwi, Mario | EGB 3 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0352-X
###
107277 |  | EGB 3 | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE ';; 'ENSENANZA DE LA LENGUA | 950-00-0358-9
###
107278 | Inhelder, Bärbel | De la lógica del niño a la lógica del adolescente | Barcelona | Paidós | 1985 | DESARROLLO DEL LENGUAJE ';; 'DESARROLLO COGNOSCITIVO ';; 'TECNICAS DIDACTICAS ';; 'PSICOLOGIA EVOLUTIVA ';; 'DESARROLLO INTELECTUAL | 84-7509-176-8
###
107279 | Clérico, María Laura | Polimodal | Buenos Aires | Ministerio de Educación. Programa Nacional de Innovaciones Educativas | 2000 | ACTIVIDADES DE APRENDIZAJE | 950-00-0355-4
###
107281 | Piaget, Jean | Psicología del niño | Madrid | Ediciones Morata | 1977 | PSICOLOGIA DEL NINO ';; 'JUEGO ';; 'MEMORIA ';; 'DESARROLLO MENTAL ';; 'INTELIGENCIA ';; 'LENGUAJE | 84-7112-103-4
###
107282 |  | Carpeta de actividades | Buenos Aires | Ministerio de Cultura y Educación | 1998 | ADMINISTRACION DE LA EDUCACION ';; 'CURSOS DE PERFECCIONAMIENTO | 
###
107283 | Piaget, Jean | Seis estudios de psicología | Buenos Aires | Ariel | 1998 | PSICOLOGIA EVOLUTIVA ';; 'PSICOLOGIA DE LA ADOLESCENCIA ';; 'PENSAMIENTO ';; 'INTELIGENCIA ';; 'LENGUAJE ';; 'PERIODO SENSORIOMOTRIZ | 950-9122-00-9
###
107290 |  | Alfabetización inicial | Buenos Aires | Ediciones Novedades Educativas | 1999 | ALFABETIZACION ';; 'CONSTRUCTIVISMO ';; 'PROCESO DE APRENDIZAJE ';; 'ROL DEL DOCENTE | 987-9191-49-8
###
107291 |  | Educación matemática | Buenos Aires | Ediciones Novedades Educativas | 1999 | ENSENANZA DE LAS MATEMATICAS ';; 'ACTIVIDADES DE APRENDIZAJE ';; 'GEOMETRIA ';; 'PSICOMOTRICIDAD | 987-9191-50-1
###
107292 |  | Ciencias sociales | Buenos Aires | Ediciones Novedades Educativas | 1999 | ENSENANZA DE LAS CIENCIAS SOCIALES ';; 'DERECHOS HUMANOS ';; 'MUSEOS | 987-9191-51-X
###
107293 |  | Ciencias naturales | Buenos Aires | Ediciones Novedades Educativas | 1999 | ECOLOGIA ';; 'ENSENANZA DE LA FISICA ';; 'PROCESO COGNOSCITIVO | 987-9191-52-8
###
